feature,coefficient
Intercept,-2188.3237072772026
C(body)[T.Beetle Convertible],-349.7378156492125
C(body)[T.CTS Coupe],369.02609079587256
C(body)[T.CTS Wagon],1147.7027318491303
C(body)[T.CTS-V Coupe],-1173.6797380032194
C(body)[T.CTS-V Wagon],8780.627862249918
C(body)[T.Cab Plus],-204.8613641625814
C(body)[T.Cab Plus 4],-152.79763717572666
C(body)[T.Club Cab],-258.1041206430252
C(body)[T.Convertible],-68.93451436213164
C(body)[T.Coupe],42.16322397959342
C(body)[T.Crew Cab],-102.27575939307171
C(body)[T.CrewMax Cab],127.67601593470219
C(body)[T.Double Cab],-81.04775348013803
C(body)[T.E-Series Van],-175.57013835821604
C(body)[T.Elantra Coupe],-135.20552363215566
C(body)[T.Extended Cab],-144.5736646471038
C(body)[T.G Convertible],14.16414248596103
C(body)[T.G Coupe],-114.52192979835584
C(body)[T.G Sedan],-106.80395610932591
C(body)[T.G37 Convertible],-430.77288963321917
C(body)[T.G37 Coupe],-834.9485826993636
C(body)[T.Genesis Coupe],364.1763923787755
C(body)[T.GranTurismo Convertible],-2729.002326249854
C(body)[T.Hatchback],-34.92477946853372
C(body)[T.King Cab],-4.532583079021286
C(body)[T.Koup],149.8904327559107
C(body)[T.Mega Cab],278.7867296259642
C(body)[T.Minivan],131.9565626028719
C(body)[T.Promaster Cargo Van],520.538854676857
C(body)[T.Q60 Convertible],1448.0569041973567
C(body)[T.Q60 Coupe],-58.85330662260189
C(body)[T.Quad Cab],-305.61803747650566
C(body)[T.Ram Van],-264.44184335399865
C(body)[T.Regular Cab],21.112812362434266
C(body)[T.SUV],-95.26561807430676
C(body)[T.Sedan],-22.21481471135635
C(body)[T.SuperCab],-74.85683096582645
C(body)[T.SuperCrew],-202.11393941058313
C(body)[T.TSX Sport Wagon],548.467384870472
C(body)[T.Transit Van],501.6966891936089
C(body)[T.Van],151.88529760136524
C(body)[T.Wagon],-8.666559146632379
C(body)[T.Xtracab],-89.50134340818195
C(body)[T.access cab],-72.86943386200556
C(body)[T.beetle convertible],159.7181032948414
C(body)[T.cab plus 4],323.60957290454104
C(body)[T.club cab],765.6512183904963
C(body)[T.convertible],-75.50989501518053
C(body)[T.coupe],2.1072898250258607
C(body)[T.crew cab],81.37205871389328
C(body)[T.crewmax cab],402.4189787646237
C(body)[T.cts coupe],-695.7610166741405
C(body)[T.cts wagon],3283.4469436964696
C(body)[T.cts-v coupe],-1122.9711082764397
C(body)[T.double cab],97.03459529804832
C(body)[T.e-series van],183.1861671750334
C(body)[T.elantra coupe],18.462389930494084
C(body)[T.extended cab],76.50313343658965
C(body)[T.g convertible],115.14025442619564
C(body)[T.g coupe],-56.33921365210756
C(body)[T.g sedan],47.952020653374184
C(body)[T.g37 convertible],392.98732786424057
C(body)[T.genesis coupe],79.16821495098961
C(body)[T.granturismo convertible],-1493.2910861007658
C(body)[T.hatchback],-3.607481626969995
C(body)[T.king cab],111.01239555388348
C(body)[T.koup],-273.0987658892193
C(body)[T.mega cab],-297.2820527867559
C(body)[T.minivan],224.79660146914898
C(body)[T.promaster cargo van],25.981311581459984
C(body)[T.q60 convertible],-979.9931665030446
C(body)[T.q60 coupe],591.1274019579847
C(body)[T.quad cab],42.03045363883909
C(body)[T.regular cab],170.27509781297383
C(body)[T.regular-cab],297.0739961504418
C(body)[T.sedan],35.10198684668291
C(body)[T.supercab],312.8834394694014
C(body)[T.supercrew],83.09828733648699
C(body)[T.suv],-26.29326956034766
C(body)[T.transit van],-797.5132913208048
C(body)[T.tsx sport wagon],138.98638999337618
C(body)[T.van],120.99996651068578
C(body)[T.wagon],-11.257044120418078
C(body)[T.xtracab],-401.9941070610164
C(transmission)[T.manual],-241.79786043484705
C(make)[T.ASTON MARTIN],1075.109575169199
C(make)[T.AUDI],-182.89060961715242
C(make)[T.BENTLEY],-1641.500530401755
C(make)[T.BMW],-198.92103431816355
C(make)[T.BUICK],-101.88415914750361
C(make)[T.CADILLAC],-119.69796851127104
C(make)[T.CHEVROLET],28.181168460458956
C(make)[T.CHRYSLER],-34.02139621805651
C(make)[T.DAEWOO],-101.38034146764434
C(make)[T.DODGE],-0.29500738875094373
C(make)[T.FERRARI],-2127.3902483155443
C(make)[T.FIAT],351.07627368681386
C(make)[T.FISKER],-2689.1565534754145
C(make)[T.FORD],-148.26640271102968
C(make)[T.GEO],132.03921774172596
C(make)[T.GMC],-41.59064449434933
C(make)[T.HONDA],-18.431325514932663
C(make)[T.HUMMER],75.96630850307837
C(make)[T.HYUNDAI],-115.95656212493729
C(make)[T.INFINITI],-118.9471322260356
C(make)[T.ISUZU],38.048218736735464
C(make)[T.JAGUAR],-479.99399117140587
C(make)[T.JEEP],21.40583050157578
C(make)[T.KIA],-74.83515977725202
C(make)[T.LAMBORGHINI],-2805.986542319592
C(make)[T.LAND ROVER],-380.1580495650614
C(make)[T.LEXUS],-146.18293514723678
C(make)[T.LINCOLN],-209.79828267089715
C(make)[T.LOTUS],627.1217197490755
C(make)[T.MASERATI],-868.7425477358591
C(make)[T.MAZDA],-2.5813554940038035
C(make)[T.MERCEDES-BENZ],-376.89565316872705
C(make)[T.MERCURY],-142.61382441877453
C(make)[T.MINI],-80.41233622386014
C(make)[T.MITSUBISHI],18.54197487572219
C(make)[T.NISSAN],-55.73647500760781
C(make)[T.OLDSMOBILE],-169.71025412281125
C(make)[T.PLYMOUTH],-2501.1966148767797
C(make)[T.PONTIAC],-118.21819304733
C(make)[T.PORSCHE],-334.63415583023806
C(make)[T.RAM],-18.64397129843464
C(make)[T.ROLLS-ROYCE],-1541.3676656950763
C(make)[T.SAAB],-86.8854834286653
C(make)[T.SATURN],-97.65058226788267
C(make)[T.SCION],64.85996946383088
C(make)[T.SMART],-211.32021570332392
C(make)[T.SUBARU],-13.799828245448714
C(make)[T.SUZUKI],197.5344838185183
C(make)[T.TESLA],-727.2901852105634
C(make)[T.TOYOTA],-65.42769230939832
C(make)[T.VOLKSWAGEN],-25.060111915350408
C(make)[T.VOLVO],-187.11616670621274
vehicle_age,65.4613539617515
odometer,-0.0006828398730819199
condition,38.09750901573316
