seller,mean_pricing_gap,pricing_gap_variance,extreme_pricing_count,transaction_count,log_pricing_gap_variance,log_extreme_pricing_count,cluster
1 cochran of monroeville,-24.892703862660944,843677.2513689513,0,233,13.645526482138585,0.0,0
159191 canada inc,-990.7407407407408,2513943.8386985115,2,108,14.737363726244238,1.0986122886681098,1
1st mid america credit union,-735.0,1164611.111111111,0,10,13.967898637705213,0.0,0
22nd street motors inc,-206.0344827586207,745073.8916256159,0,29,13.521240017981297,0.0,0
231 car sales inc.,1196.7592592592594,2371652.0352900065,1,54,14.67909775322765,0.6931471805599453,2
355 toyota,-355.13392857142856,924506.0629826252,1,112,13.73701596956664,0.6931471805599453,0
695 auto sales & service,-75.0,1396477.2727272727,0,12,14.149464105869875,0.0,0
800 loan mart,-722.4381625441696,1218253.6087512216,2,283,14.012929743790098,1.0986122886681098,0
800cash247,204.80769230769232,940200.9615384616,0,26,13.753849983869141,0.0,0
91 automotive west,1329.6875,2531267.6411290313,1,32,14.744231174206524,0.6931471805599453,2
9209 0851 quebec inc,-450.4166666666667,2463061.264124293,1,60,14.716915956573764,0.6931471805599453,2
924 auto corp,589.2857142857143,3469299.4505494502,0,14,15.05946353233389,0.0,2
a & a auto sales,782.1428571428571,2353511.904761905,0,28,14.671419623029845,0.0,2
a & h import,1175.6410256410256,672219.9730094465,0,39,13.418342394336022,0.0,0
a & n auto sales inc,-63.46153846153846,959741.7043740576,0,52,13.774420511244214,0.0,0
a l financial,-267.1875,777517.6411290322,0,32,13.563862898476772,0.0,0
a l financial corporation,-552.1276595744681,3034360.422118555,2,188,14.9255115557638,1.0986122886681098,1
a&r motors llc,29.347826086956523,1170321.1462450593,0,23,13.972789607546193,0.0,0
a-l financial corporation,-295.55555555555554,2910661.616161616,1,45,14.88389131637557,0.6931471805599453,2
aaa car rental inc,1094.4444444444443,3754756.289308176,1,54,15.138534204422404,0.6931471805599453,2
aaero sweet company,1405.431654676259,3371516.5522010033,54,1390,15.030873513194239,4.007333185232471,1
aaero sweet corporation,1116.5071770334928,2854106.3560634763,6,418,14.864269692311272,1.9459101490553132,2
abc hyundai,-533.3333333333334,979696.9696969698,0,12,13.7949996089584,0.0,0
absher arnold motors llc,681.25,4555452.3026315775,1,20,15.331835601316653,0.6931471805599453,2
access finance,-212.5,728465.9090909091,0,12,13.498697480237626,0.0,0
ace motor acceptance corporation,-469.1056910569106,691691.4067706252,0,123,13.446896636894513,0.0,0
achieva credit union,-885.0806451612904,1703472.5343733474,1,62,14.34817997993274,0.6931471805599453,0
acme autos international,341.07142857142856,22660635.302197795,1,14,16.936139893584617,0.6931471805599453,2
acres auto recycling inc,-666.6666666666666,1319281.6091954021,0,30,14.092598668942648,0.0,0
active auto sales inc,-787.5,2334206.730769231,0,14,14.663183089911564,0.0,0
acura libertyville,467.6470588235294,933809.7426470588,0,17,13.747029065679678,0.0,0
acura of concord,1116.3461538461538,2693597.115384615,1,26,14.806388447164595,0.6931471805599453,2
acura of las vegas,561.1842105263158,1182388.4246088192,0,38,13.983047885131356,0.0,0
acura of pleasanton,987.1212121212121,1148389.2773892775,0,66,13.953871760970008,0.0,2
acura of riverside,437.94642857142856,1359272.5243506492,0,56,14.122460941719284,0.0,2
acura of seattle,1290.0684931506848,1552096.175799087,0,73,14.255117591037779,0.0,2
adcock brothers inc,750.8114374034003,14853444.580488173,12,647,16.5137424219213,2.5649493574615367,1
adk auto brokers inc,-830.3370786516854,1457140.4494382022,4,356,14.191987163126898,1.6094379124341003,1
